"year","month","day","weight","flag","station","co2"
1962,04,14,6,0,MLO,321.00
1962,04,21,2,0,MLO,320.70
1962,04,28,5,0,MLO,320.30
1962,05,05,4,0,MLO,320.80
1962,05,12,5,0,MLO,320.70
1962,05,19,5,0,MLO,321.00
1962,05,26,5,0,MLO,321.10
1962,06,02,6,0,MLO,320.90
1962,06,09,5,0,MLO,320.80
1962,06,16,6,0,MLO,320.50
1962,06,23,6,0,MLO,320.10
1962,06,30,7,0,MLO,320.20
1962,07,07,6,0,MLO,320.10
1962,07,14,3,0,MLO,319.90
1962,07,21,2,0,MLO,319.00
1962,07,28,7,0,MLO,318.70
1962,08,04,3,0,MLO,318.60
1962,08,11,6,0,MLO,317.20
1962,08,18,3,0,MLO,317.40
1962,09,15,5,0,MLO,316.60
1962,09,22,4,0,MLO,315.70
1962,09,29,7,0,MLO,315.90
1962,10,06,5,0,MLO,315.10
1962,10,13,4,0,MLO,315.40
1962,10,20,5,0,MLO,315.70
1962,10,27,5,0,MLO,315.70
1962,11,03,5,0,MLO,315.90
1962,11,10,6,0,MLO,316.40
1962,11,17,7,0,MLO,316.90
1962,11,24,7,0,MLO,317.00
1962,12,01,7,0,MLO,317.10
1962,12,08,5,0,MLO,317.30
1962,12,15,7,0,MLO,317.60
1962,12,22,4,0,MLO,318.10
1963,01,05,5,0,MLO,318.50
1963,01,12,7,0,MLO,318.70
1963,01,19,7,0,MLO,318.90
1963,01,26,7,0,MLO,318.80
1963,02,02,7,0,MLO,318.70
1963,02,09,7,0,MLO,318.90
1963,02,23,2,0,MLO,319.30
1963,03,02,5,0,MLO,319.30
1963,03,09,6,0,MLO,319.70
1963,03,16,5,0,MLO,319.80
1963,03,23,7,0,MLO,320.30
1963,03,30,5,0,MLO,320.20
1963,04,06,3,0,MLO,320.30
1963,04,13,6,0,MLO,320.90
1963,04,20,6,0,MLO,322.00
1963,04,27,6,0,MLO,321.90
1963,05,11,3,0,MLO,321.90
1963,05,18,5,0,MLO,322.20
1963,05,25,6,0,MLO,322.20
1963,06,01,3,0,MLO,322.30
1963,06,08,2,0,MLO,322.00
1963,06,15,6,0,MLO,321.80
1963,06,22,4,0,MLO,320.80
1963,06,29,7,0,MLO,320.40
1963,07,06,7,0,MLO,320.10
1963,07,13,5,0,MLO,319.80
1963,07,20,7,0,MLO,319.50
1963,07,27,6,0,MLO,319.00
1963,08,03,3,0,MLO,318.60
1963,08,10,7,0,MLO,318.20
1963,08,17,3,0,MLO,317.70
1963,08,24,7,0,MLO,317.10
1963,08,31,3,0,MLO,316.40
1963,09,07,7,0,MLO,316.80
1963,09,14,7,0,MLO,315.90
1963,09,21,5,0,MLO,316.00
1963,09,28,4,0,MLO,315.90
1963,10,05,3,0,MLO,316.20
1963,10,12,7,0,MLO,315.60
1963,10,19,6,0,MLO,316.10
1963,10,26,7,0,MLO,316.30
1963,11,02,4,0,MLO,316.60
1963,11,09,6,0,MLO,316.80
1963,11,16,1,0,MLO,317.10
1963,11,30,5,0,MLO,317.50
1963,12,07,6,0,MLO,318.00
1963,12,14,4,0,MLO,318.20
1963,12,21,7,0,MLO,318.50
1963,12,28,7,0,MLO,318.70
1964,01,04,6,0,MLO,319.00
1964,01,11,6,0,MLO,319.40
1964,01,18,6,0,MLO,319.80
1964,05,30,2,0,MLO,322.00
1964,06,06,4,0,MLO,322.00
1964,06,27,3,0,MLO,321.50
1964,07,04,4,0,MLO,321.10
1964,07,11,2,0,MLO,319.90
1964,07,18,7,0,MLO,320.20
1964,07,25,5,0,MLO,320.00
1964,08,01,2,0,MLO,319.10
1964,08,15,4,0,MLO,318.60
1964,08,22,6,0,MLO,318.20
1964,08,29,5,0,MLO,318.10
1964,09,05,5,0,MLO,317.40
1964,09,12,4,0,MLO,316.50
1964,09,19,2,0,MLO,315.50
1964,09,26,2,0,MLO,317.00
1964,10,03,4,0,MLO,316.90
1964,10,10,7,0,MLO,316.50
1964,10,17,7,0,MLO,316.80
1964,10,24,2,0,MLO,317.00
1964,10,31,6,0,MLO,317.60
1964,11,07,7,0,MLO,317.70
1964,11,14,7,0,MLO,317.60
1964,11,21,6,0,MLO,317.50
1964,11,28,6,0,MLO,318.10
1964,12,05,6,0,MLO,318.40
1964,12,12,7,0,MLO,318.50
1964,12,19,7,0,MLO,318.90
1964,12,26,6,0,MLO,318.90
1965,01,02,5,0,MLO,319.00
1965,01,09,7,0,MLO,319.10
1965,01,16,7,0,MLO,319.10
1965,01,23,4,0,MLO,319.70
1965,01,30,7,0,MLO,320.10
1965,02,06,7,0,MLO,320.20
1965,02,13,7,0,MLO,320.10
1965,02,20,7,0,MLO,320.70
1965,02,27,6,0,MLO,320.80
1965,03,06,5,0,MLO,321.00
1965,03,13,7,0,MLO,320.90
1965,03,20,7,0,MLO,320.40
1965,03,27,7,0,MLO,321.40
1965,04,03,7,0,MLO,321.90
1965,04,10,4,0,MLO,322.20
1965,04,17,7,0,MLO,322.10
1965,04,24,5,0,MLO,321.80
1965,05,01,7,0,MLO,322.40
1965,05,08,6,0,MLO,322.20
1965,05,15,7,0,MLO,321.90
1965,05,22,7,0,MLO,321.60
1965,05,29,5,0,MLO,322.20
1965,06,05,7,0,MLO,321.80
1965,06,12,7,0,MLO,321.70
1965,06,19,7,0,MLO,321.70
1965,06,26,6,0,MLO,321.90
1965,07,03,7,0,MLO,321.90
1965,07,10,6,0,MLO,321.80
1965,07,17,3,0,MLO,321.70
1965,07,24,6,0,MLO,320.40
1965,07,31,5,0,MLO,319.40
1965,08,07,7,0,MLO,319.40
1965,08,14,5,0,MLO,318.00
1965,08,21,6,0,MLO,318.80
1965,08,28,3,0,MLO,318.70
1965,09,04,7,0,MLO,318.30
1965,09,11,4,0,MLO,318.00
1965,09,18,6,0,MLO,318.20
1965,09,25,6,0,MLO,316.80
1965,10,02,6,0,MLO,316.60
1965,10,09,7,0,MLO,317.20
1965,10,16,7,0,MLO,317.80
1965,10,23,7,0,MLO,317.50
1965,10,30,7,0,MLO,317.60
1965,11,06,7,0,MLO,318.30
1965,11,13,7,0,MLO,319.20
1965,11,20,7,0,MLO,318.90
1965,11,27,7,0,MLO,319.10
1965,12,04,7,0,MLO,319.00
1965,12,11,5,0,MLO,319.30
1965,12,18,6,0,MLO,319.30
1965,12,25,6,0,MLO,319.70
1966,01,01,7,0,MLO,319.60
1966,01,08,7,0,MLO,320.40
1966,01,15,7,0,MLO,320.60
1966,01,22,7,0,MLO,321.00
1966,01,29,7,0,MLO,321.10
1966,02,05,7,0,MLO,321.20
1966,02,12,6,0,MLO,321.70
1966,02,19,7,0,MLO,321.60
1966,02,26,7,0,MLO,321.80
1966,03,05,4,0,MLO,322.10
1966,03,12,5,0,MLO,322.10
1966,03,19,6,0,MLO,322.50
1966,03,26,5,0,MLO,322.80
1966,04,02,7,0,MLO,323.50
1966,04,09,3,0,MLO,323.60
1966,04,16,7,0,MLO,323.80
1966,04,23,4,0,MLO,323.90
1966,04,30,6,0,MLO,323.50
1966,05,07,6,0,MLO,324.00
1966,05,14,7,0,MLO,324.10
1966,05,21,7,0,MLO,323.70
1966,05,28,7,0,MLO,324.30
1966,06,04,7,0,MLO,324.00
1966,06,11,7,0,MLO,323.80
1966,06,18,7,0,MLO,323.70
1966,06,25,6,0,MLO,323.30
1966,07,02,5,0,MLO,322.80
1966,07,09,6,0,MLO,322.90
1966,08,06,4,0,MLO,321.30
1966,08,13,3,0,MLO,320.80
1966,08,20,3,0,MLO,319.10
1966,08,27,7,0,MLO,319.60
1966,09,03,4,0,MLO,319.90
1966,09,10,3,0,MLO,318.20
1966,09,17,7,0,MLO,318.40
1966,09,24,5,0,MLO,318.30
1966,10,01,6,0,MLO,317.90
1966,10,08,7,0,MLO,317.90
1966,10,15,4,0,MLO,318.20
1966,10,22,4,0,MLO,318.60
1966,10,29,6,0,MLO,318.30
1966,11,12,4,0,MLO,319.50
1966,11,19,5,0,MLO,320.00
1966,11,26,6,0,MLO,320.20
1966,12,03,3,0,MLO,320.80
1966,12,10,7,0,MLO,320.80
1966,12,17,5,0,MLO,321.10
1966,12,24,4,0,MLO,321.30
1966,12,31,7,0,MLO,321.30
1967,01,07,6,0,MLO,321.90
1967,01,14,2,0,MLO,322.90
1967,02,04,5,0,MLO,322.10
1967,02,11,5,0,MLO,322.20
1967,02,18,6,0,MLO,322.80
1967,02,25,4,0,MLO,322.60
1967,03,04,6,0,MLO,322.90
1967,03,11,6,0,MLO,322.60
1967,03,18,4,0,MLO,323.30
1967,03,25,2,0,MLO,323.20
1967,04,01,3,0,MLO,323.10
1967,04,08,7,0,MLO,324.20
1967,04,15,5,0,MLO,324.40
1967,04,22,3,0,MLO,324.60
1967,04,29,6,0,MLO,325.10
1967,05,06,1,0,MLO,325.20
1967,05,13,5,0,MLO,324.70
1967,05,20,5,0,MLO,325.00
1967,05,27,5,0,MLO,324.90
1967,06,03,4,0,MLO,324.90
1967,06,10,6,0,MLO,324.60
1967,06,17,4,0,MLO,323.30
1967,06,24,6,0,MLO,323.50
1967,07,01,6,0,MLO,322.80
1967,07,08,7,0,MLO,322.80
1967,07,15,5,0,MLO,322.40
1967,07,22,5,0,MLO,322.40
1967,07,29,6,0,MLO,322.00
1967,08,05,7,0,MLO,321.60
1967,08,12,5,0,MLO,321.40
1967,08,19,5,0,MLO,320.40
1967,08,26,5,0,MLO,320.00
1967,09,02,4,0,MLO,320.00
1967,09,09,6,0,MLO,319.40
1967,09,16,7,0,MLO,319.30
1967,09,23,7,0,MLO,319.00
1967,09,30,7,0,MLO,318.80
1967,10,07,7,0,MLO,318.80
1967,10,14,6,0,MLO,319.80
1967,10,21,7,0,MLO,319.40
1967,10,28,7,0,MLO,319.80
1967,11,04,7,0,MLO,320.00
1967,11,11,7,0,MLO,320.30
1967,11,18,7,0,MLO,320.90
1967,11,25,7,0,MLO,321.50
1967,12,02,7,0,MLO,321.40
1967,12,09,7,0,MLO,321.80
1967,12,16,7,0,MLO,322.20
1967,12,23,7,0,MLO,321.90
1967,12,30,7,0,MLO,322.30
1968,01,06,7,0,MLO,322.40
1968,01,13,7,0,MLO,322.50
1968,01,20,6,0,MLO,322.50
1968,01,27,7,0,MLO,322.80
1968,02,03,7,0,MLO,322.60
1968,02,10,7,0,MLO,323.10
1968,02,17,7,0,MLO,323.40
1968,02,24,7,0,MLO,323.10
1968,03,02,6,0,MLO,323.10
1968,03,09,4,0,MLO,323.80
1968,03,16,6,0,MLO,323.80
1968,03,23,6,0,MLO,324.20
1968,03,30,5,0,MLO,324.70
1968,04,06,7,0,MLO,324.70
1968,04,13,6,0,MLO,325.00
1968,04,20,5,0,MLO,324.80
1968,04,27,7,0,MLO,325.40
1968,05,04,7,0,MLO,325.60
1968,05,11,7,0,MLO,325.00
1968,05,18,6,0,MLO,325.50
1968,05,25,7,0,MLO,325.80
1968,06,01,5,0,MLO,325.60
1968,06,08,7,0,MLO,325.70
1968,06,15,4,0,MLO,325.50
1968,06,22,4,0,MLO,324.90
1968,06,29,5,0,MLO,324.60
1968,07,06,6,0,MLO,324.70
1968,07,13,7,0,MLO,324.10
1968,07,20,7,0,MLO,323.90
1968,07,27,7,0,MLO,323.40
1968,08,03,5,0,MLO,322.40
1968,08,10,5,0,MLO,322.20
1968,08,17,3,0,MLO,322.00
1968,08,24,6,0,MLO,321.70
1968,08,31,6,0,MLO,321.40
1968,09,07,7,0,MLO,320.40
1968,09,14,7,0,MLO,321.10
1968,09,21,7,0,MLO,319.70
1968,09,28,7,0,MLO,319.80
1968,10,05,7,0,MLO,320.50
1968,10,12,6,0,MLO,320.50
1968,10,19,7,0,MLO,320.20
1968,10,26,7,0,MLO,319.90
1968,11,02,5,0,MLO,320.70
1968,11,09,7,0,MLO,320.80
1968,11,16,7,0,MLO,321.40
1968,11,23,7,0,MLO,321.70
1968,11,30,6,0,MLO,322.00
1968,12,07,4,0,MLO,322.40
1968,12,14,7,0,MLO,322.90
1968,12,21,5,0,MLO,323.30
1968,12,28,6,0,MLO,323.10
1969,01,04,6,0,MLO,323.30
1969,01,11,6,0,MLO,324.00
1969,01,18,6,0,MLO,324.30
1969,01,25,7,0,MLO,324.10
1969,02,01,7,0,MLO,324.10
1969,02,08,5,0,MLO,323.90
1969,02,15,5,0,MLO,324.30
1969,02,22,5,0,MLO,324.80
1969,03,01,7,0,MLO,325.10
1969,03,08,7,0,MLO,325.50
1969,03,15,7,0,MLO,325.70
1969,03,22,6,0,MLO,325.90
1969,03,29,7,0,MLO,325.80
1969,04,05,7,0,MLO,326.20
1969,04,12,7,0,MLO,327.10
1969,04,19,6,0,MLO,326.50
1969,04,26,6,0,MLO,326.50
1969,05,03,7,0,MLO,327.50
1969,05,10,7,0,MLO,327.80
1969,05,17,6,0,MLO,326.80
1969,05,24,7,0,MLO,326.90
1969,05,31,5,0,MLO,327.40
1969,06,07,6,0,MLO,326.50
1969,06,14,4,0,MLO,326.70
1969,06,21,5,0,MLO,326.70
1969,06,28,7,0,MLO,326.30
1969,07,05,6,0,MLO,326.10
1969,07,12,7,0,MLO,326.00
1969,07,19,6,0,MLO,325.70
1969,07,26,4,0,MLO,325.40
1969,08,02,5,0,MLO,324.50
1969,08,09,7,0,MLO,324.50
1969,08,16,7,0,MLO,323.10
1969,08,23,5,0,MLO,322.50
1969,08,30,7,0,MLO,323.10
1969,09,06,6,0,MLO,322.20
1969,09,13,6,0,MLO,322.70
1969,09,20,4,0,MLO,322.80
1969,09,27,7,0,MLO,321.90
1969,10,04,7,0,MLO,321.50
1969,10,11,7,0,MLO,321.80
1969,10,18,7,0,MLO,322.00
1969,10,25,7,0,MLO,321.90
1969,11,01,7,0,MLO,322.20
1969,11,08,7,0,MLO,322.60
1969,11,15,7,0,MLO,322.70
1969,11,22,7,0,MLO,323.10
1969,11,29,7,0,MLO,323.50
1969,12,06,7,0,MLO,323.90
1969,12,13,7,0,MLO,323.90
1969,12,20,7,0,MLO,324.20
1969,12,27,7,0,MLO,324.50
1970,01,03,7,0,MLO,324.70
1970,01,10,7,0,MLO,325.40
1970,01,17,7,0,MLO,325.00
1970,01,24,7,0,MLO,324.80
1970,01,31,7,0,MLO,325.50
1970,02,07,7,0,MLO,325.70
1970,02,14,7,0,MLO,326.00
1970,02,21,6,0,MLO,326.30
1970,02,28,7,0,MLO,326.10
1970,03,07,7,0,MLO,326.80
1970,03,14,7,0,MLO,326.80
1970,03,21,7,0,MLO,327.50
1970,03,28,7,0,MLO,326.90
1970,04,04,7,0,MLO,328.20
1970,04,11,7,0,MLO,327.80
1970,04,18,7,0,MLO,327.80
1970,04,25,7,0,MLO,328.50
1970,05,02,7,0,MLO,327.90
1970,05,09,5,0,MLO,327.50
1970,05,16,5,0,MLO,328.00
1970,05,23,7,0,MLO,328.30
1970,05,30,6,0,MLO,327.90
1970,06,06,7,0,MLO,327.50
1970,06,13,7,0,MLO,327.80
1970,06,20,7,0,MLO,327.70
1970,06,27,6,0,MLO,327.20
1970,07,04,6,0,MLO,327.20
1970,07,11,6,0,MLO,326.20
1970,07,18,6,0,MLO,326.20
1970,07,25,7,0,MLO,325.60
1970,08,01,5,0,MLO,325.20
1970,08,08,3,0,MLO,325.20
1970,08,15,6,0,MLO,324.80
1970,08,22,5,0,MLO,324.80
1970,08,29,5,0,MLO,323.30
1970,09,05,7,0,MLO,322.90
1970,09,12,4,0,MLO,323.50
1970,09,19,4,0,MLO,323.10
1970,09,26,5,0,MLO,323.10
1970,10,03,5,0,MLO,323.20
1970,10,10,6,0,MLO,323.50
1970,10,17,4,0,MLO,322.90
1970,10,24,7,0,MLO,323.00
1970,10,31,5,0,MLO,323.10
1970,11,07,7,0,MLO,323.60
1970,11,14,5,0,MLO,323.70
1970,11,21,7,0,MLO,324.20
1970,11,28,7,0,MLO,324.70
1970,12,05,7,0,MLO,324.70
1970,12,12,7,0,MLO,325.00
1970,12,19,7,0,MLO,325.20
1970,12,26,3,0,MLO,325.50
1971,01,02,6,0,MLO,325.70
1971,01,09,7,0,MLO,325.80
1971,01,16,7,0,MLO,325.90
1971,01,23,6,0,MLO,326.70
1971,01,30,7,0,MLO,326.60
1971,02,06,7,0,MLO,326.50
1971,02,13,7,0,MLO,326.40
1971,02,20,7,0,MLO,326.70
1971,02,27,7,0,MLO,327.00
1971,03,06,6,0,MLO,327.10
1971,03,13,6,0,MLO,327.30
1971,03,20,7,0,MLO,327.00
1971,03,27,7,0,MLO,327.40
1971,04,03,6,0,MLO,327.40
1971,04,10,6,0,MLO,327.10
1971,04,17,7,0,MLO,327.70
1971,04,24,7,0,MLO,328.50
1971,05,01,7,0,MLO,328.20
1971,05,08,7,0,MLO,329.00
1971,05,15,7,0,MLO,329.20
1971,05,22,7,0,MLO,328.90
1971,05,29,6,0,MLO,328.80
1971,06,05,6,0,MLO,328.50
1971,06,12,7,0,MLO,328.80
1971,06,19,7,0,MLO,328.10
1971,06,26,7,0,MLO,328.50
1971,07,03,7,0,MLO,327.90
1971,07,10,6,0,MLO,327.80
1971,07,17,7,0,MLO,327.50
1971,07,24,6,0,MLO,326.20
1971,07,31,2,0,MLO,326.70
1971,08,07,7,0,MLO,326.10
1971,08,14,2,0,MLO,325.60
1971,08,21,6,0,MLO,325.30
1971,08,28,6,0,MLO,324.00
1971,09,04,7,0,MLO,323.60
1971,09,11,7,0,MLO,323.50
1971,09,18,4,0,MLO,323.20
1971,09,25,7,0,MLO,323.30
1971,10,02,7,0,MLO,323.30
1971,10,09,1,0,MLO,322.90
1971,10,16,7,0,MLO,323.50
1971,10,23,7,0,MLO,323.60
1971,10,30,7,0,MLO,324.40
1971,11,06,7,0,MLO,324.30
1971,11,13,7,0,MLO,324.50
1971,11,20,7,0,MLO,325.00
1971,11,27,7,0,MLO,325.50
1971,12,04,7,0,MLO,325.30
1971,12,11,7,0,MLO,325.90
1971,12,18,7,0,MLO,326.20
1971,12,25,7,0,MLO,326.30
1972,01,01,6,0,MLO,326.60
1972,01,08,7,0,MLO,326.60
1972,01,15,7,0,MLO,326.60
1972,01,22,7,0,MLO,326.60
1972,01,29,7,0,MLO,327.20
1972,02,05,7,0,MLO,327.40
1972,02,12,7,0,MLO,327.90
1972,02,19,7,0,MLO,327.80
1972,02,26,7,0,MLO,327.40
1972,03,04,7,0,MLO,327.50
1972,03,11,6,0,MLO,327.10
1972,03,18,7,0,MLO,327.70
1972,03,25,4,0,MLO,328.60
1972,04,01,6,0,MLO,328.90
1972,04,08,7,0,MLO,329.40
1972,04,15,7,0,MLO,329.80
1972,04,22,7,0,MLO,330.10
1972,04,29,6,0,MLO,330.00
1972,05,06,7,0,MLO,330.00
1972,05,13,7,0,MLO,329.70
1972,05,20,7,0,MLO,330.10
1972,05,27,7,0,MLO,330.20
1972,06,03,7,0,MLO,329.70
1972,06,10,5,0,MLO,329.10
1972,06,17,7,0,MLO,329.00
1972,06,24,7,0,MLO,328.50
1972,07,01,7,0,MLO,328.60
1972,07,08,7,0,MLO,328.30
1972,07,15,7,0,MLO,327.70
1972,07,22,5,0,MLO,328.10
1972,07,29,5,0,MLO,327.50
1972,08,05,7,0,MLO,326.90
1972,08,12,7,0,MLO,326.60
1972,08,19,7,0,MLO,326.50
1972,08,26,7,0,MLO,325.00
1972,09,02,7,0,MLO,325.40
1972,09,09,7,0,MLO,325.70
1972,09,16,7,0,MLO,324.80
1972,09,23,7,0,MLO,324.20
1972,09,30,6,0,MLO,324.20
1972,10,07,6,0,MLO,324.80
1972,10,14,5,0,MLO,325.50
1972,10,21,7,0,MLO,325.10
1972,10,28,7,0,MLO,325.80
1972,11,04,7,0,MLO,326.30
1972,11,11,6,0,MLO,326.10
1972,11,18,7,0,MLO,326.40
1972,11,25,7,0,MLO,326.90
1972,12,02,7,0,MLO,326.90
1972,12,09,7,0,MLO,327.10
1972,12,16,7,0,MLO,327.60
1972,12,23,6,0,MLO,327.90
1972,12,30,7,0,MLO,328.20
1973,01,06,5,0,MLO,328.40
1973,01,13,7,0,MLO,328.40
1973,01,20,5,0,MLO,328.60
1973,01,27,7,0,MLO,328.80
1973,02,03,6,0,MLO,329.10
1973,02,10,7,0,MLO,329.50
1973,02,17,7,0,MLO,329.60
1973,02,24,7,0,MLO,329.70
1973,03,03,6,0,MLO,329.90
1973,03,10,7,0,MLO,330.10
1973,03,17,5,0,MLO,330.50
1973,03,24,4,0,MLO,330.80
1973,03,31,7,0,MLO,330.60
1973,04,07,7,0,MLO,331.20
1973,04,14,7,0,MLO,331.10
1973,04,21,6,0,MLO,331.90
